,Tweet,Sentimental,:),:-),:d,thanks,love,good,thank,see,happy,great,:(,:-(,miss,please,want,can't,time,sorry,one
0,#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!,Positive,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,@DespiteOfficial we had a listen last night :) As You Bleed is an amazing track. When are you in Scotland?!,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,@97sides CONGRATS :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"@BhaktisBanter @PallaviRuhail This one is irresistible :)
#FlipkartFashionFriday http://t.co/EbZ0L2VENM",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF :) https://t.co/smyYriipxI,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"@Impatientraider On second thought, there’s just not enough time for a DD :) But new shorts entering system. Sheep must be buying.",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,"Jgh , but we have to go to Bayan :D bye",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies :p.",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Who Wouldn't Love These Big....Juicy....Selfies :) - http://t.co/QVzjgd1uFo http://t.co/oWBL11eQRY,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
